job_title,job_company,job_location,job_time,job_antiquity,job_type,job_url,job_sector,job_role
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=6e3508bc-e844-4392-ad68-d2b69e9a5952&trackingId=bc9aWbKQaEBiDC0k15Erxg%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
Consultor/a Junior para Evaluación de Riesgos Financieros,EY,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-a-junior-para-evaluaci%C3%B3n-de-riesgos-financieros-at-ey-2322529987?refId=6e3508bc-e844-4392-ad68-d2b69e9a5952&trackingId=px%2FZVtuYRVsBqKy8qgCxlw%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Contabilidad,Educación
CONSULTOR DATA SCIENCE JUNIOR,Management Solutions,"Provincia de Buenos Aires, Argentina",Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-data-science-junior-at-management-solutions-2164726402?refId=a3bc7379-6b7b-4d3d-b89d-682fece5abb7&trackingId=mgfSfqYzASfga8ns3Pdx%2Fg%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Consultoría
CONSULTOR DATA SCIENCE JUNIOR,Management Solutions,"Provincia de Buenos Aires, Argentina",Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-data-science-junior-at-management-solutions-2164726402?refId=27cdf523-2647-4eb8-b4ad-294b98dd3886&trackingId=Yt9lRYpwBP6prdJKUCC%2ByA%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Consultoría
RPA - PYTHON,PGK Consultores,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 1 semana,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/rpa-python-at-pgk-consultores-2327710371?refId=a3bc7379-6b7b-4d3d-b89d-682fece5abb7&trackingId=KkAvMzFkIe%2FfO9aBf7dRqg%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Otro
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=27cdf523-2647-4eb8-b4ad-294b98dd3886&trackingId=Ssj6h700vwLeHsqeiSruJw%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
Desarrollador Python ,gA,"Zárate, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-python-at-ga-2218901444?refId=377eaa72-d7c5-4a9d-935d-a27ad7c9be46&trackingId=uWthTEsywaiYOV8LUrT1Dw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Tecnología de la información
RPA - PYTHON,PGK Consultores,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 1 semana,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/rpa-python-at-pgk-consultores-2327710371?refId=f1a3d58c-1cda-43ce-ad95-0b3e870079cf&trackingId=pR6NpwIMBn1nn0uKZLEQGA%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Otro
Data & Applied Scientist,Microsoft,Argentina,Hace 2 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-applied-scientist-at-microsoft-2320332293?refId=f14797d3-74d0-4456-b771-5b7cd789a880&trackingId=kejchr1kgxgjxCVKzjQH0w%3D%3D&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Equipos informáticos,Otro
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=f14797d3-74d0-4456-b771-5b7cd789a880&trackingId=wuYeBMJmGG5m6uHYZyUt1g%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
